Metric,Before Mitigation,After Mitigation
Accuracy,0.8245470365441704,0.8123656464325929
Statistical Parity Diff,-0.1752667021219251,-0.06220623192597974
Equal Opportunity Diff,-0.25786213786213785,0.059740259740259705
