Metric,Before Mitigation,After Mitigation
Accuracy,0.8245470365441704,0.6532910226225817
Statistical Parity Diff,-0.17557190584541052,-0.01885088520468009
Equal Opportunity Diff,-0.25836163836163833,-0.007952047952047958
